ID,Rate,memo
0,0.519127987,アリス
1,0.449077082,
2,0.741224794,
3,0.67409933,
4,0.221195322,
5,0.585268162,
6,0.251543095,
7,0.889160264,
8,0.942292304,
9,0.45343885,
10,0.641840683,
11,0.140202819,
12,0.034860492,
13,0.451311476,
14,0.267256702,
15,0.763855154,
16,0.71971627,
17,0.251741926,
18,0.66788728,
19,0.763302462,
20,0.97505991,
21,0.432499767,
22,0.296430067,
23,0.885027824,
24,0.157144933,
25,0.202959244,
26,0.177389912,
27,0.29299071,
28,0.094991038,
29,0.836065509,
30,0.5,ライザ
31,0.462130844,
32,0.890027922,
33,0.752992998,
34,0.310232779,
35,0.328868988,
36,0.733313115,
37,0.510754363,
38,0.439241216,
39,0.02919466,
40,0.926496989,
41,0.791291912,
42,0.833221803,
43,0.37685704,
44,0.354236863,
45,0.186640692,
46,0.565062633,
47,0.691312817,
48,0.836461665,
49,0.122973739,
50,0.217971672,
51,0.260276789,
52,0.858085337,
53,0.052724983,
54,0.862336792,
55,0.538600963,
56,0.458166283,
57,0.566450554,
58,0.064638139,
59,0.695886126,
60,0.083379679,
61,0.19175774,
62,0.761531019,
63,0.900968355,
64,0.961387241,
65,0.131162051,
66,0.901115097,
67,0.673612453,
68,0.366386993,
69,0.639265717,
70,0.563902287,
71,0.28441605,
72,0.205528195,
73,0.182971035,
74,0.630630943,
75,0.589903996,
76,0.518291435,
77,0.319459281,
78,0.414798374,
79,0.36211273,
80,0.13193807,
81,0.289540949,
82,0.680114761,
83,0.888719307,
84,0.802255015,
85,0.982011691,
86,0.690121027,
87,0.47310604,
88,0.193976384,
89,0.869778306,
90,0.998133611,
91,0.913903932,
92,0.972759972,
93,0.423832977,
94,0.150830533,
95,0.89882947,
96,0.375486078,
97,0.293132403,
98,0.931828032,
99,0.000547027,
100,0.314532084,
101,0.695509187,
102,0.416449779,
103,0.104704381,
104,0.667565179,
105,0.691497506,
106,0.706365683,
107,0.769106438,
108,0.793949874,
109,0.18662952,
110,0.235746966,
111,0.456205632,
112,0.238904472,
113,0.963785956,
114,0.982852076,
115,0.229724575,
116,0.469315991,
117,0.051720891,
118,0.761601357,
119,0.135067551,
120,0.811523717,
121,0.61771717,
122,0.407080725,
123,0.141929831,
124,0.745639279,
125,0.808489211,
126,0.438219611,
127,0.930616271,
128,0.390589153,
129,0.703985745,
130,0.543313828,
131,0.481434363,
132,0.37379387,
133,0.692540345,
134,0.328606832,
135,0.952201071,
136,0.514938153,
137,0.329594438,
138,0.956344736,
139,0.164136709,
140,0.922935842,
141,0.398924563,
142,0.034784776,
143,0.27738855,
144,0.234437026,
145,0.175726934,
146,0.103633548,
147,0.211414882,
148,0.350451079,
149,0.715906184,
150,0.817696491,
151,0.281784655,
152,0.407954134,
153,0.238720592,
154,0.346947569,
155,0.667113774,
156,0.481545153,
157,0.903135216,
158,0.580867959,
159,0.162963239,
160,0.793906079,
161,0.792688868,
162,0.831191297,
163,0.162655025,
164,0.084465474,
165,0.553872255,
166,0.191748561,
167,0.527179583,
168,0.560543332,
169,0.970333739,
170,0.639234657,
171,0.313428705,
172,0.185396615,
173,0.008883795,
174,0.180460556,
175,0.025478783,
176,0.826842595,
177,0.783255434,
178,0.576107513,
179,0.490516679,
180,0.975928178,
181,0.626583403,
182,0.387922822,
183,0.55646758,
184,0.70933374,
185,0.571612638,
186,0.909926982,
187,0.114289036,
188,0.915268853,
189,0.356423716,
190,0.686250553,
191,0.661443981,
192,0.548901471,
193,0.647955847,
194,0.815531103,
195,0.114777521,
196,0.406543114,
197,0.71194651,
198,0.101835993,
199,0.67421613,
200,0.495309997,
201,0.520522771,
202,0.24474775,
203,0.988085378,
204,0.147344744,
205,0.379857643,
206,0.765020317,
207,0.57415517,
208,0.452042248,
209,0.992654721,
210,0.020163146,
211,0.34754272,
212,0.630175613,
213,0.228837526,
214,0.371106331,
215,0.082666142,
216,0.904534566,
217,0.238393322,
218,0.378144071,
219,0.495726216,
220,0.699971642,
221,0.496911404,
222,0.169660419,
223,0.281937381,
224,0.89807021,
225,0.092692509,
226,0.026227513,
227,0.101923261,
228,0.797481545,
229,0.881095358,
230,0.34345419,
231,0.397264924,
232,0.557162075,
233,0.799210494,
234,0.379828675,
235,0.680151328,
236,0.261408106,
237,0.727943383,
238,0.874533198,
239,0.855801266,
240,0.976228606,
241,0.723500057,
242,0.411853521,
243,0.826376203,
244,0.329138946,
245,0.406707264,
246,0.123745856,
247,0.788502245,
248,0.3060939,
249,0.527792083,
250,0.128514651,
251,0.899901952,
252,0.904787004,
253,0.667840453,
254,0.813397181,
255,0.85135865,
256,0.113576938,
257,0.967668766,
258,0.943404322,
259,0.318086789,
260,0.098969251,
261,0.619417486,
262,0.41331989,
263,0.969566045,
264,0.69642847,
265,0.306520119,
266,0.657839661,
267,0.549307328,
268,0.866571528,
269,0.441804363,
270,0.898731442,
271,0.230069969,
272,0.41864872,
273,0.768234181,
274,0.038724717,
275,0.457376049,
276,0.759742946,
277,0.354314593,
278,0.954452446,
279,0.37760538,
280,0.828748358,
281,0.190004347,
282,0.840410826,
283,0.631315897,
284,0.583438083,
285,0.668711167,
286,0.906975209,
287,0.529102258,
288,0.125994223,
289,0.319151881,
290,0.360939299,
291,0.091977014,
292,0.372242943,
293,0.830956724,
294,0.679019918,
295,0.55522134,
296,0.176227737,
297,0.408499071,
298,0.873467393,
299,0.016811377,
300,0.645829025,
301,0.955515937,
302,0.011108487,
303,0.40115865,
304,0.501315003,
305,0.489826639,
306,0.575733427,
307,0.641019168,
308,0.216360084,
309,0.990873129,
310,0.445346193,
311,0.357040619,
312,0.259750113,
313,0.695093797,
314,0.26894586,
315,0.890871424,
316,0.133806468,
317,0.525345273,
318,0.393615892,
319,0.259540618,
320,0.881337826,
321,0.640387409,
322,0.869783574,
323,0.748919645,
324,0.057053056,
325,0.843994639,
326,0.942780407,
327,0.395751911,
328,0.236764582,
329,0.698616931,
